,Kenya Shilling Monthly Average Exchange Rates\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,86.28,142.81,117.81,7.86,28.61,18.82,7.87,18,23.49,,78.04,,96.45,,,,84.52,13.27,14.08,15.79,,,,1.39,11.12,68.11,23.01,14.19,77.33
2014,3,86.49,143.76,119.58,7.96,29.28,18.88,7.85,17.98,23.55,,77.8,,98.23,,,,84.58,13.51,14.4,16.03,,,,1.42,11.14,68.25,23.06,14.01,78.39
2014,4,86.72,145.08,119.78,8.2,29.19,18.86,7.82,17.88,23.61,,78.81,,98.23,,,,84.59,13.38,14.47,16.03,,,,1.43,11.18,69.06,23.12,13.93,80.78
2014,5,87.41,147.29,120.09,8.39,28.97,18.92,7.76,17.72,23.8,,80.26,,98.44,,,,85.84,13.39,14.69,16.09,,,,1.47,11.28,69.85,23.31,14.01,81.46
2014,6,87.61,148.15,119.16,8.2,29.45,19.18,7.74,17.69,23.85,,80.85,,97.81,,,,85.88,13.22,14.5,15.97,,,,1.47,11.3,70.01,23.36,14.06,82.08
2014,7,87.77,150.01,118.93,8.22,30,18.97,7.76,17.65,23.9,,81.93,,97.87,,,,86.31,12.96,14.18,15.94,,,,1.46,11.33,70.55,23.4,14.16,82.38
2014,8,88.11,147.24,117.4,8.26,29.66,18.89,7.83,17.57,23.99,,80.64,,96.85,,,,85.63,12.78,14.2,15.75,,,,1.45,11.37,70.59,23.49,14.31,81.98
2014,9,88.84,144.99,114.74,8.11,29.47,18.78,7.75,17.43,24.19,,80.77,,95.01,,,,82.9,12.48,14.02,15.45,,,,1.46,11.46,70.38,23.69,14.47,80.57
2014,10,89.23,143.66,113.21,8.05,30.03,18.96,7.72,17.47,24.33,,79.64,,93.69,,,,82.62,12.35,13.67,15.2,,,,1.45,11.5,70.03,23.79,14.57,78.33
2014,11,89.96,142.05,112.28,8.1,30.38,19.16,7.66,17.39,24.49,,79.52,,93.31,,,,77.53,12.14,13.22,15.09,,,,1.46,11.6,69.42,23.98,14.69,77.83
2014,12,90.44,141.45,111.52,7.89,30.62,19.11,7.62,17.28,24.62,,78.51,,92.7,,,,75.79,11.86,12.45,14.99,,,,1.44,11.66,68.77,24.1,14.61,74.65
2015,1,91.36,138.49,106.32,7.89,31.29,19.4,7.53,17.14,24.87,,75.66,,97.05,,,,77.19,11.27,11.89,14.29,,,,1.47,11.78,68.3,24.33,14.69,73.83
2015,2,91.49,140.21,103.95,7.9,31.36,19.92,7.52,17.12,24.91,,73.14,,97.92,,,,77.17,10.96,12.05,13.96,,,,1.48,11.8,67.52,24.38,14.63,71.29
2015,3,91.73,137.51,99.41,7.61,32.19,20.09,7.56,17.05,24.97,,72.76,,93.61,,,,76.23,10.75,11.5,13.33,,,,1.47,11.82,66.62,24.46,14.7,70.93
2015,4,93.44,139.62,100.71,7.78,32.04,20.28,7.37,16.73,25.44,,75.7,,97.08,,,,78.18,10.79,11.84,13.49,,,,1.49,12.06,69.26,24.91,15.07,72.31
2015,5,96.39,149.1,107.54,8.06,31.17,20.98,7.16,16.23,26.24,,79.34,,103.6,,,,79.89,11.58,12.8,14.42,,,,1.51,12.43,72.22,25.7,15.54,76.18
2015,6,97.71,152.16,109.72,7.95,32.67,22.49,7.37,16.06,26.6,,79.07,,104.96,,,,79,11.84,12.53,14.71,,,,1.53,12.6,72.62,26.05,15.74,75.44
2015,7,101.2,157.53,111.36,8.13,33.23,20.9,7.23,15.92,27.55,,78.92,,106.21,,,,82.1,11.89,12.47,14.92,,,,1.59,13.06,74.35,26.98,16.3,75.13
2015,8,102.43,159.77,114.09,7.94,34.66,20.73,6.99,15.11,27.89,,77.93,,105.75,,,,83.12,11.97,12.42,15.29,,,,1.57,13.21,73.24,27.31,16.15,74.69
2015,9,105.28,161.54,118.23,7.72,34.82,20.56,6.97,14.68,28.66,,79.42,,108.33,,,,87.64,12.57,12.72,15.85,,,,1.59,13.58,74.37,28.07,16.53,74.28
2015,10,102.78,157.44,115.3,7.61,35.39,21.19,7.14,15.07,27.98,,78.56,,106,,,,85.6,12.33,12.41,15.46,,,,1.58,13.26,73.3,27.41,16.18,73.94
2015,11,102.17,155.43,109.77,7.24,33.56,21.13,7.29,15.2,27.82,,77,,101.39,,,,83.44,11.78,11.84,14.72,,,,1.55,13.18,72.21,27.24,16.04,72.93
2015,12,102.2,153.29,111.11,6.82,32.9,21.08,7.31,15.2,27.82,,74.65,,102.53,,,,83.89,12.01,11.76,14.89,,,,1.54,13.19,72.53,27.24,15.84,74.03
2016,1,102.31,147.53,111.11,6.27,33.71,21.32,7.35,15.19,27.86,,72.07,,101.68,,,,86.57,11.98,11.59,14.9,,,,1.52,13.15,71.48,27.27,15.58,71.88
2016,2,101.93,145.86,113.02,6.46,33.68,21.45,7.36,15.28,27.75,,73.73,,102.49,,,,88.54,12.01,11.83,15.14,,,,1.49,13.1,72.44,27.18,15.56,72.62
2016,3,101.49,144.24,112.6,6.57,33.15,21.55,7.44,15.33,27.63,,76.63,,103.13,,,,89.86,12.12,11.94,15.1,,,,1.51,13.08,73.75,27.06,15.59,75.88
2016,4,101.23,144.79,114.84,6.92,33.04,21.65,7.49,15.36,27.56,,78.74,,105.03,,,,92.4,12.46,12.3,15.42,,,,1.52,13.05,74.97,26.99,15.63,77.61
2016,5,100.73,146.27,113.96,6.58,33.21,21.74,7.56,15.46,27.43,,77.91,,103.06,,,,92.48,12.27,12.25,15.32,,,,1.51,12.98,73.54,26.86,15.43,73.69
2016,6,101.15,144.32,113.69,6.73,33.27,21.67,7.59,16.02,27.54,,78.47,,104.38,,,,95.85,12.19,12.18,15.28,,,,1.5,13.03,74.73,26.97,15.35,74.92
2016,7,101.33,133.42,112.1,7.02,33.34,21.61,7.46,16.45,27.59,,77.69,,103.12,,,,97.24,11.84,11.98,15.07,,,,1.51,13.06,74.99,27.02,15.17,76.23
2016,8,101.41,132.89,113.66,7.4,33.25,21.57,7.58,16.47,27.61,,78.05,,104.52,,,,100.24,11.98,12.21,15.28,,,,1.52,13.08,75.29,27.04,15.26,77.4
2016,9,101.27,133.15,113.48,7.21,33.39,21.56,7.64,16.49,27.57,,77.3,,103.9,,,,99.33,11.86,12.32,15.24,,,,1.52,13.06,74.52,27,15.18,76.86
2016,10,101.32,125.47,111.89,7.27,33.88,21.55,7.6,16.51,27.59,,76.58,,102.76,,,,97.78,11.54,12.43,15.04,,,,1.52,13.06,73.29,27.01,15.07,77.2
2016,11,101.75,126.29,109.98,7.32,34.93,21.44,7.9,16.5,27.7,,75.68,,102.27,,,,94.27,11.16,12.11,14.78,,,,1.51,13.12,72.19,27.13,14.88,76.73
2016,12,102.13,127.68,107.67,7.36,35.25,21.34,7.99,16.44,27.81,,76.55,,100.17,,,,88.1,11.07,11.94,14.48,,,,1.5,13.16,71.16,27.23,14.76,75.1
2017,1,103.75,128.01,110.17,7.65,34.79,21.4,7.62,16.08,27.69,,76.92,,102.76,,,,93.12,11.81,12.11,15.03,,,,1.51,13.11,73.4,27.66,15.04,77.22
2017,2,103.64,129.46,110.36,7.85,34.58,21.56,7.99,16.31,28.22,,79.15,,103.52,,,,91.69,11.65,12.45,14.84,,,,1.55,13.36,73.24,27.64,15.08,79.46
2017,3,102.85,126.87,109.87,7.96,34.98,21.73,8.06,16.51,28,,76.85,,102.59,,,,91.08,11.53,12.1,14.78,,,,1.56,13.24,73.18,27.43,14.91,78.4
2017,4,103.33,130.43,110.68,7.67,35.03,21.62,8.06,16.46,28.13,,76.97,,103.26,,,,93.72,11.54,12.04,14.89,,,,1.6,13.29,73.89,27.55,17,77.84
2017,5,103.26,133.46,114.05,7.79,35.1,21.65,8.04,16.54,28.11,,75.9,,104.6,,,,91.99,11.76,12.15,15.34,,,,1.6,13.26,74.02,27.53,14.99,76.81
2017,6,103.49,132.47,116.18,8.03,34.69,21.62,8.03,16.66,28.18,,77.77,,106.91,,,,93.4,11.92,12.23,15.62,,,,1.61,13.27,74.78,27.6,15.2,78.2
2017,7,103.88,134.86,119.4,7.9,34.68,21.55,7.97,16.66,28.28,,81.61,,108.09,,,,92.3,12.45,12.69,16.07,,,,1.61,13.3,75.71,27.7,15.34,80.81
2017,8,103.56,134.24,122.24,7.82,34.82,21.63,8.01,16.79,28.19,,82.14,,107.28,,,,94.3,12.8,13.11,16.44,,,,1.62,13.24,76.1,27.61,15.52,81.98
2017,9,103.12,137.09,122.85,7.85,34.9,21.74,8.07,16.92,28.07,,83.84,,107.12,,,,93.22,12.89,13.17,16.51,,,,1.6,13.19,76.39,27.49,15.7,82.23
2017,10,103.39,136.44,121.59,7.59,34.16,21.71,8.09,16.94,28.15,,82.32,,105.54,,,,91.7,12.67,12.96,16.34,,,,1.59,13.24,76.05,27.57,15.61,80.67
2017,11,103.57,136.78,121.42,7.34,35.15,21.66,8.16,16.95,28.2,,81.15,,104.43,,,,91.77,12.35,12.67,16.32,,,,1.6,13.27,76.36,27.62,15.64,79.03
2017,12,103.1,138.24,121.97,7.81,35.14,21.73,8.22,17.08,28.07,,80.67,,104.33,,,,91.31,12.26,12.39,16.38,,,,1.6,13.2,76.54,27.49,15.62,78.7
2018,1,102.92,141.95,125.37,8.42,35.37,21.81,8.23,17.13,28.02,,82.74,,106.96,,,,92.73,12.77,12.99,16.85,,,,1.62,13.16,77.82,27.44,15.99,81.74
2018,2,101.4,141.72,125.29,8.57,35.87,22.2,8.44,17.4,27.61,,80.76,,108.49,,,,93.86,12.62,12.95,16.83,,,,1.58,12.96,76.86,27.04,16.05,79.92
2018,3,101.18,141.24,124.68,8.54,36.16,22.31,8.5,17.45,27.55,,78.39,,106.9,,,,95.33,12.28,13.02,16.74,,,,1.56,12.91,76.88,26.98,15.99,78.62
2018,4,100.61,141.86,123.65,8.33,36.73,22.58,8.61,17.52,27.39,,79.04,,104.09,,,,93.57,11.93,12.85,16.6,,,,1.53,12.82,76.5,26.83,15.98,77.4
2018,5,100.66,135.68,118.96,8.02,37.01,22.67,8.62,17.52,27.41,,78.22,,100.9,,,,91.72,11.49,12.43,15.97,,,,1.49,12.83,75.13,26.84,15.79,75.69
2018,6,101,134.24,117.98,7.62,38.05,22.54,8.63,17.45,27.5,,77,,102.12,,,,91.91,11.49,12.46,15.84,,,,1.49,12.87,74.98,26.93,15.63,75.81
2018,7,100.67,132.58,117.6,7.5,37.41,22.61,8.69,17.52,27.41,,76.63,,101.16,,,,90.36,11.39,12.38,15.78,,,,1.47,12.83,73.83,26.84,15.01,74.5
2018,8,100.61,129.68,116.25,7.18,37.06,22.71,8.73,17.58,27.39,,77.17,,101.73,,,,90.67,11.12,12.1,15.58,,,,1.45,12.82,73.52,26.83,14.69,73.77
2018,9,100.83,131.65,117.66,6.81,37.7,22.67,8.72,17.6,27.45,,77.33,,104.25,,,,90.18,11.26,12.21,15.77,,,,1.4,12.86,73.53,26.89,14.71,72.6
2018,10,101.08,131.6,116.2,7,37.4,22.66,8.74,17.6,27.52,,77.74,,101.84,,,,89.59,11.2,12.26,15.58,,,,1.38,12.9,73.33,26.95,14.61,71.95
2018,11,102.36,132.08,116.35,7.25,36.54,22.46,8.69,17.41,27.87,,77.63,,102.24,,,,90.35,11.3,12.09,15.59,,,,1.42,13.07,74.41,27.28,14.74,74.09
2018,12,102.29,129.74,116.45,7.22,36.32,22.49,8.72,17.48,27.85,,76.33,,103.09,,,,91,11.33,11.88,15.6,,,,1.45,13.08,74.67,27.27,14.85,73.65
2019,1,101.58,130.76,115.95,7.29,36.45,22.72,8.8,17.68,27.66,,76.11,,102.62,,,,93.18,11.29,11.84,15.53,,,,1.44,12.96,74.85,27.08,14.95,72.5
2019,2,100.23,130.29,113.81,7.27,36.64,23.23,8.94,17.96,27.29,,75.87,,100.06,,,,90.89,10.84,11.68,15.24,,,,1.41,12.77,74.03,26.73,14.87,71.58
2019,3,100.36,132.29,113.51,6.99,36.92,23.36,8.97,18.01,27.32,,75.15,,100.3,,,,90.26,10.81,11.68,15.21,,,,1.44,12.79,74.13,26.76,14.96,71.13
2019,4,101.07,131.77,113.58,7.13,36.97,22.88,8.93,18.1,27.52,,75.54,,100.44,,,,90.59,10.84,11.79,15.21,,,,1.46,12.88,74.54,26.95,15.05,71.88
2019,5,101.15,130.07,113.17,7.01,37.22,22.74,8.96,18.12,27.54,,75.16,,100.05,,,,91.95,10.54,11.57,15.16,,,,1.45,12.89,73.78,26.97,14.76,70.26
2019,6,101.69,128.82,114.73,6.96,36.72,22.61,8.94,18.07,27.69,,76.44,,102.79,,,,94.1,10.79,11.77,15.37,,,,1.46,13,74.58,27.11,14.73,70.55
2019,7,103.16,128.92,115.83,7.35,35.84,22.3,8.86,17.83,28.08,,78.78,,104.5,,,,95.35,10.97,11.99,15.52,,,,1.5,13.21,75.82,27.51,15,72.09
2019,8,103.3,125.59,114.96,6.84,35.76,22.26,8.88,17.86,28.12,,77.82,,105.46,,,,97.12,10.71,11.53,15.41,,,,1.45,13.18,74.62,27.54,14.64,70
2019,9,103.8,128.16,114.35,6.99,35.41,22.15,8.87,17.79,28.26,,78.35,,104.8,,,,96.68,10.68,11.52,15.32,,,,1.45,13.25,75.21,27.67,14.58,70.65
2019,10,103.67,130.65,114.41,6.95,35.65,22.19,8.88,17.89,28.22,,78.54,,104.25,,,,95.88,10.59,11.32,15.32,,,,1.46,13.22,75.56,27.64,14.6,70.33
2019,11,102.39,131.96,113.22,6.91,36.12,22.49,9.08,18.31,27.88,,77.38,,103.15,,,,94.09,10.62,11.18,15.17,,,,1.43,13.08,75.18,27.3,14.58,70
2019,12,101.5,132.88,112.67,7.02,36.21,22.65,9.25,18.5,27.63,,76.93,,103.06,,,,92.96,10.75,11.21,15.08,,,,1.43,13,74.73,27.06,14.46,69.69
2020,1,101.09,132.15,112.29,7.04,36.41,22.79,9.38,18.61,27.52,,77.3,,104.18,,,,92.47,10.64,11.31,15.02,,,,1.42,13,74.85,26.95,14.6,69.42
2020,2,100.79,130.83,109.94,6.72,36.45,22.91,9.43,18.71,27.44,,75.94,,103.24,,,,91.58,10.4,10.86,14.72,,,,1.41,12.97,72.59,26.87,14.4,67.28
2020,3,103.74,128.54,114.67,6.29,36.33,22.23,9.16,18.22,28.24,,74.66,,108.24,,,,96.37,10.56,10.24,15.35,,,,1.39,13.36,73.29,27.63,14.79,64.78
2020,4,106.41,131.92,115.61,5.74,35.56,21.75,8.95,17.77,28.97,,75.63,,109.66,,,,98.78,10.61,10.2,15.5,,,,1.4,13.73,74.72,28.3,15.04,67.01
2020,5,106.68,131.29,116.12,5.87,35.54,21.7,8.88,17.8,29.04,,76.32,,109.93,,,,99.55,10.94,10.54,15.58,,,,1.41,13.76,75.21,28.4,15.02,69.45
2020,6,106.4,133.38,119.83,6.22,35.13,21.76,8.96,17.9,28.97,,78.51,,111.81,,,,98.92,11.43,11.18,16.08,,,,1.41,13.73,76.34,28.36,15.02,73.3
2020,7,107.27,135.3,122.51,6.39,34.53,21.62,8.92,17.95,29.2,,79.32,,114.55,,,,100.34,11.82,11.49,16.47,,,,1.43,13.84,77.21,28.6,15.29,75.2
2020,8,108.14,141.85,127.83,6.28,34,21.48,8.91,17.84,29.44,,81.62,,118.74,,,,102.07,12.41,12.08,17.18,,,,1.45,13.95,78.95,28.83,15.6,77.8
2020,9,108.41,140.89,128.01,6.48,34.08,21.4,8.94,17.81,29.51,,82.12,,118.59,,,,102.68,12.29,11.9,17.19,,,,1.48,13.99,79.43,28.9,15.92,78.57
2020,10,108.64,140.94,127.85,6.59,34.22,21.35,8.99,17.8,29.58,,82.18,,118.99,,,,103.22,12.29,11.7,17.18,,,,1.48,14.02,79.88,28.96,16.14,77.48
2020,11,109.25,144.13,129.15,7,33.97,21.23,9.01,17.73,29.74,,83.45,,119.83,,,,104.62,12.61,11.98,17.34,,,,1.47,14.09,81.01,29.13,16.53,79.27
2020,12,110.59,148.42,134.33,7.41,33.16,20.97,8.95,17.53,30.11,,86.21,,124.36,,,,106.55,13.21,12.68,18.07,,,,1.5,14.27,82.94,29.48,16.9,83.09
2021,1,109.83,149.75,133.8,7.26,33.61,21.11,9.03,17.68,29.9,,86.37,,123.91,,,,105.9,13.26,12.91,17.98,,,,1.5,14.17,82.83,29.28,16.96,84.85
2021,2,109.68,151.8,132.62,7.41,33.43,21.14,9.05,17.72,29.86,,86.27,,122.27,,,,104.12,13.14,12.88,17.83,,,,1.51,14.15,82.58,29.24,16.98,84.89
2021,3,109.73,152.21,130.86,7.32,33.38,21.13,9.05,17.74,29.87,,87.19,,118.26,,,,101.11,12.86,12.86,17.58,,,,1.51,14.13,81.77,29.26,16.86,84.56
2021,4,107.95,149.3,129.13,7.49,33.59,21.48,9.25,18.05,29.39,,86.29,,117.14,,,,99.03,12.72,12.88,17.38,,,,1.45,13.89,80.93,28.78,16.56,83.21
2021,5,107.43,151.06,130.41,7.63,33.09,21.59,9.32,18.37,29.25,,88.51,,118.88,,,,98.43,12.85,12.92,17.54,,,,1.47,13.83,80.78,28.65,16.7,83.38
2021,6,107.81,151.45,130.07,7.76,32.84,21.51,9.3,18.34,29.35,,88.32,,118.87,,,,97.99,12.85,12.81,17.48,,,,1.47,13.89,80.9,28.75,16.79,82.52
2021,7,108.14,149.37,127.89,7.45,32.84,21.44,9.31,18.32,29.44,,86.47,,117.7,,,,98,12.55,12.35,17.2,,,,1.45,13.92,79.87,28.83,16.71,80.4
2021,8,109.24,150.87,128.59,7.39,32.39,21.23,9.23,18.16,29.74,,86.71,,119.51,,,,99.47,12.59,12.33,17.29,,,,1.47,14.03,80.59,29.13,16.86,79.74
2021,9,110.15,151.51,129.78,7.56,32.06,21.04,9.2,18.03,29.99,,86.98,,119.42,,,,100.06,12.75,12.74,17.44,,,,1.5,14.16,81.75,29.37,17.06,80.62
2021,10,110.86,151.58,128.6,7.44,32.28,20.78,9.17,17.94,30.18,,88.98,,119.92,,,,98.03,12.77,13.06,17.28,,,,1.48,14.25,82,29.56,17.25,81.87
2021,11,111.92,150.97,127.94,7.23,31.74,20.57,9.15,17.79,30.47,,89.19,,121.41,,,,98.12,12.75,12.86,17.19,,,,1.5,14.37,82.52,29.84,17.51,81.95
2021,12,112.91,150.15,127.64,7.1,31.49,20.4,9.18,17.65,30.74,,88.19,,122.65,,,,99.2,12.43,12.57,17.17,,,,1.5,14.48,82.8,30.09,17.73,80.74
2022,1,113.38,153.59,128.42,7.31,31.13,20.33,9.15,17.61,30.87,,89.85,,123.44,,,,98.63,12.41,12.83,17.25,,,,1.52,14.55,83.92,30.21,17.84,81.37
2022,2,113.66,153.71,128.79,7.45,30.92,20.35,9.11,17.59,30.94,,89.32,,123.15,,,,98.69,12.22,12.8,17.31,,,,1.52,14.57,84.37,30.29,17.91,81.3
2022,3,114.32,151,126.21,7.61,31.39,20.27,8.91,17.79,31.12,,90.27,,123.01,,,,96.64,11.95,12.95,16.94,,,,1.5,14.61,84.13,30.47,18.02,84.19
2022,4,115.4,150.09,125.52,7.73,30.68,20.13,8.83,17.78,31.42,,91.59,,122.7,,,,91.83,12.14,13.05,16.85,,,,1.52,14.72,84.6,30.77,17.98,85.26
2022,5,116.28,145.08,122.96,7.34,31.24,20,8.78,17.66,31.66,,90.59,,118.66,,,,90.3,11.73,12.13,16.53,,,,1.51,14.81,84.14,31,17.35,81.98
2022,6,117.29,144.83,124.14,7.44,31.91,19.87,8.72,17.54,31.93,,91.63,,121.06,,,,87.58,11.71,12.06,16.69,,,,1.5,14.94,84.79,31.26,17.53,82.55
2022,7,118.32,141.85,120.72,7.03,32.04,19.71,8.68,17.4,32.21,,91.41,,122.08,,,,86.57,11.39,11.82,16.21,,,,1.49,15.08,84.76,31.51,17.57,81.06
2022,8,119.45,143.46,121.03,7.16,32.08,19.52,8.64,17.26,32.52,,92.54,,124.89,,,,88.51,11.53,12.32,16.27,,,,1.5,15.23,86.32,31.8,17.57,83.18
2022,9,120.42,136.66,119.31,6.87,31.76,19.36,8.69,17.15,32.78,,90.47,,123.6,,,,84.26,11.06,11.76,16.02,,,,1.5,15.34,85.2,32.03,17.16,80.51
2022,10,121.03,136.6,119.03,6.69,31.61,19.27,8.8,17.08,32.95,,88.34,,121.71,,,,82.32,10.89,11.45,16.03,,,,1.47,15.42,85.05,32.2,16.84,77.2
2022,11,121.9,142.97,124.17,6.96,30.85,19.13,8.79,16.97,33.19,,90.64,,126.14,,,,85.6,11.42,12.01,16.7,,,,1.49,15.57,87.84,32.43,16.98,80.33
2022,12,122.93,149.8,130,7.12,30.01,18.98,8.73,16.85,33.47,,90.56,,131.77,,,,90.91,11.85,12.46,17.48,,,,1.49,15.79,90.85,32.69,17.6,82.95
2023,1,123.93,151.33,133.43,7.25,29.79,18.85,8.67,16.73,33.74,,92.25,,133.98,,,,95.05,11.91,12.46,17.94,,,,1.51,15.85,93.46,32.99,18.24,86.01
2023,2,125.45,151.87,134.53,7.03,29.36,18.64,8.66,16.55,34.15,,93.37,,135.8,,,,94.66,12.03,12.28,18.08,,,,1.52,15.99,94.36,33.44,18.38,86.83
2023,3,129.74,157.35,138.79,7.09,28.84,18.04,8.43,16.03,35.32,,94.8,,140.07,,,,96.95,12.37,12.32,18.65,,,,1.58,16.53,96.7,34.55,18.8,86.66
2023,4,134.4,167.26,147.39,7.4,27.87,17.45,8.24,15.49,36.6,,99.75,,149.56,,,,100.71,13,12.82,19.77,,,,1.64,17.12,100.93,35.83,19.51,90.04
2023,5,137.26,171.35,149.22,7.22,27.18,17.18,8.16,18.83,37.38,,101.68,,153.11,,,,100.14,13.15,12.73,20.04,,,,1.67,17.52,102.5,36.6,19.65,91.38
2023,6,139.73,176.27,151.37,7.46,26.54,17.08,8.18,20.22,38.04,,105.12,,155.22,,,,99.12,12.98,12.95,20.34,,,,1.7,17.84,103.86,37.25,19.52,93.96
2023,7,141.45,182.06,156.29,7.76,25.93,17.26,8.26,20.01,38.51,,107.01,,161.76,,,,100.16,13.43,13.76,20.98,,,,1.72,18.09,105.92,37.71,19.67,95.24
2023,8,143.93,182.92,157.1,7.69,25.61,17.31,8.22,19.68,39.19,,106.86,,163.93,,,,99.45,13.32,13.79,21.09,,,,1.74,18.39,106.62,38.37,19.86,93.49
2023,9,146.77,182.29,156.89,7.74,25.48,17.04,8.16,19.3,39.96,,108.44,,163.57,,,,99.46,13.25,13.69,21.04,,,,1.77,18.75,107.69,39.13,20.11,94.31
2023,10,149.40,181.86,157.77,7.83,25.13,16.76,8.17,19.00,40.67,,108.99,,165.14,,,,99.86,13.54,13.57,21.14,,,,1.80,19.09,109.09,39.83,20.45,94.73
